Catchment,GAName,Constituent,Units,WA_DOH_Station,StationNum,Date,DateTime,Value
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-04-25,2017-04-25,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-05-04,2017-05-04,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-05-19,2017-05-19,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-06-08,2017-06-08,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-07-25,2017-07-25,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-08-17,2017-08-17,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-09-26,2017-09-26,23.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-10-06,2017-10-06,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-11-17,2017-11-17,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-12-21,2017-12-21,33.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-12-29,2017-12-29,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-02-12,2018-02-12,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-04-24,2018-04-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-04-24,2018-04-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-06-05,2018-06-05,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-06-15,2018-06-15,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-07-30,2018-07-30,1.7
